                                             name                                first_name              last_name
                                       Fransérgio                                      None             Fransérgio
                                         Berthaud                                      None               Berthaud
                          Martin Lundgaard Hansen                          Martin Lundgaard                 Hansen
                            Pierre Van Reysschoot                                Pierre Van             Reysschoot
                                   Anne de Borman                                   Anne de                 Borman
                              Olof van der Meulen                              Olof van der                 Meulen
                                             Joca                                      None                   Joca
                                 Décio de Azevedo                                  Décio de                Azevedo
                                    Noël de Mille                                   Noël de                  Mille
                                 Fons van Katwijk                                  Fons van                Katwijk
                                   Chow Park Wing                                 Chow Park                   Wing
                                 W. H. Heckersall                                     W. H.             Heckersall
                               José María Pagoaga                                José María                Pagoaga
                            Juan Carlos Rodríguez                               Juan Carlos              Rodríguez
                                        Wattelier                                      None              Wattelier
                                       Boulesteix                                      None             Boulesteix
                                 Avi Koki Schafer                                  Avi Koki                Schafer
                          Hans Christian Andersen                            Hans Christian               Andersen
                           Ricardo José Rodríguez                              Ricardo José              Rodríguez
                                   Johan von Koss                                 Johan von                   Koss
                             Zafar Ahmed Muhammad                               Zafar Ahmed               Muhammad
                                HRH Princess Haya                              HRH Princess                   Haya
                                         Frechaut                                      None               Frechaut
                                Edward Risk Allah                               Edward Risk                  Allah
                               Juan Carlos Robles                               Juan Carlos                 Robles
                              Uffe Schultz Larsen                              Uffe Schultz                 Larsen
                                 Gagan Ajit Singh                                Gagan Ajit                  Singh
                                  Kamel Ait Daoud                                 Kamel Ait                  Daoud
                                          Negreli                                      None                Negreli
                                  Trịnh Quốc Việt                                Trịnh Quốc                   Việt
                                          Lacombe                                      None                Lacombe
                             Abdel Madjid Slimani                              Abdel Madjid                Slimani
                             Jagdish Singh Kapoor                             Jagdish Singh                 Kapoor
                                 Abbas Haj Kenari                                 Abbas Haj                 Kenari
                                  Abdel Aziz Badr                                Abdel Aziz                   Badr
                             Gustaf Adolf Jonsson                              Gustaf Adolf                Jonsson
                                 Nguyễn Tiến Nhật                               Nguyễn Tiến                   Nhật
                             Juan Pablo Santiagos                                Juan Pablo              Santiagos
                                             Tina                                      None                   Tina
                          Albert, Prince Grimaldi                            Albert, Prince               Grimaldi
                             Andrés Felipe Torres                             Andrés Felipe                 Torres
                                    Kévin Le Roux                                  Kévin Le                   Roux
                               Linn Jørum Sulland                                Linn Jørum                Sulland
                                           Châlon                                      None                 Châlon
                          Hermann Ludwig Husslein                            Hermann Ludwig               Husslein
                                    Koh Chong Jin                                 Koh Chong                    Jin
                               Ejgo Vejby Nielsen                                Ejgo Vejby                Nielsen
                                         Salvador                                      None               Salvador
                            Marco Aurelio Fontana                             Marco Aurelio                Fontana
                                      M. I. Tokhi                                     M. I.                  Tokhi
                                  Alex Di Giorgio                                   Alex Di                Giorgio
                         Hussain Mahmoudi Shahvar                          Hussain Mahmoudi                Shahvar
                                  Sandra Le Poole                                 Sandra Le                  Poole
                                    Hoàng Tấn Tài                                 Hoàng Tấn                    Tài
                           Reginaldo Dos Remédios                             Reginaldo Dos               Remédios
                           Melker Svärd Jacobsson                              Melker Svärd              Jacobsson
                                           Hudson                                      None                 Hudson
                           Emilio Sánchez Vicario                            Emilio Sánchez                Vicario
                               Patrick le Rolland                                Patrick le                Rolland
                            Abdul Ramonu Gibirine                              Abdul Ramonu               Gibirine
                          Joëlle Mbumi Nkouindjin                              Joëlle Mbumi             Nkouindjin
                                  Robert De Waele                                 Robert De                  Waele
                                         Zvigomar                                      None               Zvigomar
                              José Manuel Valadés                               José Manuel                Valadés
                                Moriah Van Norman                                Moriah Van                 Norman
                              Mohab Mohymen Ishak                             Mohab Mohymen                  Ishak
                           António, Conde Menezes                            António, Conde                Menezes
                              Arthur von Pongrácz                                Arthur von               Pongrácz
                                       Weynachter                                      None             Weynachter
                               Fayzollah Band Ali                            Fayzollah Band                    Ali
                               John E. B. Wofford                                John E. B.                Wofford
                                   Trần Thanh Vân                                Trần Thanh                    Vân
                          Dolf Broese van Groenou                           Dolf Broese van                Groenou
                                      Mak So Ning                                    Mak So                   Ning
                                Jacob van der Kop                             Jacob van der                    Kop
                                Paul de Montholon                                   Paul de              Montholon
                                Luis Felipe Areta                               Luis Felipe                  Areta
                            Thierry De Borchgrave                                Thierry De             Borchgrave
                                  Paul Sewe Omany                                 Paul Sewe                  Omany
                                  Jorik van Egdom                                 Jorik van                  Egdom
                                  Mohon Lal Ghosh                                 Mohon Lal                  Ghosh
                              Peter van der Noort                             Peter van der                  Noort
                                François de Boffa                               François de                  Boffa
                                    Phạm Thị Hiền                                  Phạm Thị                   Hiền
                                 Jacinta Van Lint                               Jacinta Van                   Lint
                               Ndèye Fatou Soumah                               Ndèye Fatou                 Soumah
                                     Lau Kwok Kin                                  Lau Kwok                    Kin
                                    João da Paula                                   João da                  Paula
                              Mário Sabino Júnior                              Mário Sabino                 Júnior
                               Luis Miguel Oliver                               Luis Miguel                 Oliver
               Carl-Friedrich Freiherr von Langen               Carl-Friedrich Freiherr von                 Langen
                                  Paolo De Ceglie                                  Paolo De                 Ceglie
                            Mohamed Ajfan Rasheed                             Mohamed Ajfan                Rasheed
                               Bilal Said Al-Azma                                Bilal Said                Al-Azma
                              Peter Sofus Nielsen                               Peter Sofus                Nielsen
                                  Javier de Pedro                                 Javier de                  Pedro
                                      Soe Min Thu                                   Soe Min                    Thu
                           Johannes Høsflot Klæbo                          Johannes Høsflot                  Klæbo
                                            Mauro                                      None                  Mauro
                          Ramón Porcel de Peralta                           Ramón Porcel de                Peralta
                          Carlos Alberto Alvarado                            Carlos Alberto               Alvarado
                             Henri de Royer-Dupré                                  Henri de            Royer-Dupré
                                    W. A. McElroy                                     W. A.                McElroy
                                Nguyễn Mạnh Tường                               Nguyễn Mạnh                  Tường
                            Lady Patricia Andrade                             Lady Patricia                Andrade
                              Timsah Okalo Mulwal                              Timsah Okalo                 Mulwal
                                  Carlos del Coso                                Carlos del                   Coso
                            Maria Elisabete Jorge                           Maria Elisabete                  Jorge
                               Charles De Sorgher                                Charles De                Sorgher
                             Magdy Ahmed Abdullah                               Magdy Ahmed               Abdullah
                                    C. F. Kennedy                                     C. F.                Kennedy
                           Danyal Saveh Shemshaki                              Danyal Saveh              Shemshaki
                              Mohamed Reza Samadi                              Mohamed Reza                 Samadi
                                     Leung Bo Yee                                  Leung Bo                    Yee
                         Seyed Mojtaba Mirhashemi                             Seyed Mojtaba             Mirhashemi
                              Pier Luigi Vestrini                                Pier Luigi               Vestrini
                            Nilo Marques Medeiros                              Nilo Marques               Medeiros
                        Else-Marthe Sørlie Lybekk                        Else-Marthe Sørlie                 Lybekk
                             José Ramón Oyarzábal                                José Ramón              Oyarzábal
                          Søren Peter Christensen                               Søren Peter            Christensen
                                 Félicien Du Bois                               Félicien Du                   Bois
                           Mohamed Faizal Baharom                            Mohamed Faizal                Baharom
                                      W. H. Banks                                     W. H.                  Banks
                                Abdou Mamadou Sow                             Abdou Mamadou                    Sow
                                     Lisa Ann Wen                                  Lisa Ann                    Wen
                              Abdel Hakim Djaziri                               Abdel Hakim                Djaziri
                                   W. B. Williams                                     W. B.               Williams
                        N'Guessan Sebastien Konan                       N'Guessan Sebastien                  Konan
                             Helena Blach Lavrsen                              Helena Blach                Lavrsen
                                Ali Hassan Kadhum                                Ali Hassan                 Kadhum
                                Nazli Bayat Makou                               Nazli Bayat                  Makou
                               Chérif Baba Aidara                               Chérif Baba                 Aidara
                               Ajib Sidek Mohamed                                Ajib Sidek                Mohamed
                             Hamilton de Oliveira                               Hamilton de               Oliveira
                                   Janine van Wyk                                Janine van                    Wyk
                           Richard André Ordemann                             Richard André               Ordemann
                                 Abdul Muhsen Ali                              Abdul Muhsen                    Ali
                                       Beauchamps                                      None             Beauchamps
                                   James Ten Eyck                                 James Ten                   Eyck
                              Martine van Leeuwen                               Martine van                Leeuwen
                  Christiaan, Jonkheer van Lennep                  Christiaan, Jonkheer van                 Lennep
                                Juan Enrique Lira                              Juan Enrique                   Lira
                                            Tonho                                      None                  Tonho
                                 Riccardo De Luca                               Riccardo De                   Luca
                                           Moreil                                      None                 Moreil
                                   I Ketut Ariana                                   I Ketut                 Ariana
                               Hamid Reza Mobarez                                Hamid Reza                Mobarez
                                    Quah Ting Wen                                 Quah Ting                    Wen
                              Abdel Hamed El-Hadi                               Abdel Hamed                El-Hadi
                                           Dupont                                      None                 Dupont
                              Kamineni Eswara Rao                           Kamineni Eswara                    Rao
                               Mary Anne O'Connor                                 Mary Anne               O'Connor
                              Julio César de León                            Julio César de                   León
                           Thiagus Thiagus Petrus                           Thiagus Thiagus                 Petrus
                                 J. Graham Kenion                                 J. Graham                 Kenion
                               Scott Alan Sánchez                                Scott Alan                Sánchez
                                          Getúlio                                      None                Getúlio
                             Juan Sebastián Verón                            Juan Sebastián                  Verón
                                 Kemal Sadri Özün                               Kemal Sadri                   Özün
                               Anatole Zongo Kuyo                             Anatole Zongo                   Kuyo
                                          Cervera                                      None                Cervera
                                           Walace                                      None                 Walace
                                Nguyễn Mai Phương                                Nguyễn Mai                 Phương
                           Jitender Singh Panesar                            Jitender Singh                Panesar
                              Washington da Silva                             Washington da                  Silva
                                        Fléchieux                                      None              Fléchieux
                             Juan Pedro de Miguel                             Juan Pedro de                 Miguel
                                  Chow Kwong Wing                                Chow Kwong                   Wing
                         Khalid Habash Al-Suwaidi                             Khalid Habash             Al-Suwaidi
                                   Sally da Silva                                  Sally da                  Silva
                               Pier Paolo Petroni                                Pier Paolo                Petroni
                             Suleman Abdul Rahman                             Suleman Abdul                 Rahman
                       Henri-Robert von der Mühll                      Henri-Robert von der                  Mühll
                           Khaled El-Ali El-Rifai                             Khaled El-Ali               El-Rifai
                                  Younis Abed Ali                               Younis Abed                    Ali
                           Birthe Lindskov Hansen                           Birthe Lindskov                 Hansen
                                 Rik Van Averbeke                                   Rik Van               Averbeke
                               Patric Della Rossa                              Patric Della                  Rossa
                          Børge Hougaard Petersen                            Børge Hougaard               Petersen
                                  Ann Marie Flynn                                 Ann Marie                  Flynn
                                 Vito Di Terlizzi                                   Vito Di               Terlizzi
                                Osbert de Rozario                                 Osbert de                Rozario
                              Abdel Vares Sharraf                               Abdel Vares                Sharraf
                                Marjolein de Jong                              Marjolein de                   Jong
                       Manuel, Comte de Lambertye                          Manuel, Comte de              Lambertye
                                  Rino De Candido                                   Rino De                Candido
                             John Aymer Dalrymple                                John Aymer              Dalrymple
                                Wilhelm von Essen                               Wilhelm von                  Essen
                              Nils Petter Håkedal                               Nils Petter                Håkedal
                                        Baubusson                                      None              Baubusson
                            Martin N'Dongo Ebanga                            Martin N'Dongo                 Ebanga
                          Ernesto Montemayor, Sr.                       Ernesto Montemayor,                    Sr.
                                    B. J. Wallace                                     B. J.                Wallace
                                  Hélcio da Silva                                 Hélcio da                  Silva
                              Sturla Holm Lægreid                               Sturla Holm                Lægreid
                                    Sebbe De Buck                                  Sebbe De                   Buck
                                         Graziane                                      None               Graziane
                 Aurélie Perrillat-Collomb Storti                 Aurélie Perrillat-Collomb                 Storti
                                  Laurens De Plus                                Laurens De                   Plus
                                    Siew Shaw Her                                 Siew Shaw                    Her
                                      Guanbunima                                       None             Guanbunima
                                Toon van Welsenes                                  Toon van               Welsenes
                             Baljit Singh Dhillon                              Baljit Singh                Dhillon
                                 Han van den Berg                               Han van den                   Berg
                                   Juan Luis Wood                                 Juan Luis                   Wood
                             Raida Abdallah Bader                            Raida Abdallah                  Bader
                              Bahadur Chettri Ram                           Bahadur Chettri                    Ram
                                        Guerrinha                                      None              Guerrinha
                         Ane Stangeland Horpestad                            Ane Stangeland              Horpestad
                                  Zely dos Santos                                  Zely dos                 Santos
                         Basílio de Moraes Júnior                         Basílio de Moraes                 Júnior
                           Mads Kongsgaard Madsen                           Mads Kongsgaard                 Madsen
                                      Mak Chi Wai                                   Mak Chi                    Wai
                             José Da Silva Viegas                             José Da Silva                 Viegas
                                  Anna Van Nuffel                                  Anna Van                 Nuffel
                                   Mandy de Jongh                                  Mandy de                  Jongh
                                           Arízio                                      None                 Arízio
                                              Gay                                      None                    Gay
                                       W. G. Wood                                     W. G.                   Wood
                               James van Riemsdyk                                 James van               Riemsdyk
                     José Augusto Loureiro Júnior                     José Augusto Loureiro                 Júnior
                            Angad Vir Singh Bajwa                           Angad Vir Singh                  Bajwa
                              Wilfrid Kent Hughes                              Wilfrid Kent                 Hughes
                                      Mok Sau Hei                                   Mok Sau                    Hei
                          Élie, Comte de Lastours                            Élie, Comte de               Lastours
                                Jorge de Oliveira                                  Jorge de               Oliveira
                                          Brander                                      None                Brander
                                          Batista                                      None                Batista
                                           Bonner                                      None                 Bonner
                                Maurice Van Damme                               Maurice Van                  Damme
                           Marius Daniel Berbecar                             Marius Daniel               Berbecar
                            Christian Vande Velde                           Christian Vande                  Velde
                             Jeniffer de Oliveira                               Jeniffer de               Oliveira
                               Anil Kumar Sangwan                                Anil Kumar                Sangwan
                          Abdel Ghani El-Mansouri                               Abdel Ghani            El-Mansouri
                  Maria Gąsienica Bukowa-Kowalska                           Maria Gąsienica        Bukowa-Kowalska
                                  Job van Oostrum                                   Job van                Oostrum
                             Luis Ezequiel Unsain                             Luis Ezequiel                 Unsain
                               José la Rocca, Jr.                            José la Rocca,                    Jr.
                       Mukhammad Kadyr Abdullayev                           Mukhammad Kadyr             Abdullayev
                                           Moulin                                      None                 Moulin
                             Bashir Ahmad Rahmati                              Bashir Ahmad                Rahmati
                            El-Munsif Ben Youssef                             El-Munsif Ben                Youssef
                                    Tsoi Ngai Wan                                 Tsoi Ngai                    Wan
                                  Gene Walet, III                               Gene Walet,                    III
                                      Li Wing Mui                                   Li Wing                    Mui
                                       U Zaw Weik                                     U Zaw                   Weik
                             Nizar Mohamed Naeeli                             Nizar Mohamed                 Naeeli
                                  José Luis Corta                                 José Luis                  Corta
                         Mohammad Ibrahim Gharzai                          Mohammad Ibrahim                Gharzai
                                   J. W. Mashburn                                     J. W.               Mashburn
                                         Caillard                                      None               Caillard
                              René de Ribaupierre                                   René de            Ribaupierre
                              Svend Aage Castella                                Svend Aage               Castella
                              Dušan Domović Bulut                             Dušan Domović                  Bulut
                              Federico van Ditmar                              Federico van                 Ditmar
                                Ana Rosa Chaparro                                  Ana Rosa               Chaparro
                                          Marcelo                                      None                Marcelo
                                          Batista                                      None                Batista
                                 Michel Ben Akoun                                Michel Ben                  Akoun
                     Rufino Rodríguez de la Torre                    Rufino Rodríguez de la                  Torre
                                Mehmet Nadir Ünal                              Mehmet Nadir                   Ünal
                                   Cheah Soon Kit                                Cheah Soon                    Kit
                                Karl Gustaf Staaf                               Karl Gustaf                  Staaf
                                     Naung Ye Tun                                  Naung Ye                    Tun
                             Cyrille Tchatchet II                         Cyrille Tchatchet                     II
                           Vladimir, Prince Orlov                          Vladimir, Prince                  Orlov
                                 Nils Dag Strømme                                  Nils Dag                Strømme
                                     Kurt von Arx                                  Kurt von                    Arx
                             José Antonio Montero                              José Antonio                Montero
                                 H. Louis Gardner                                  H. Louis                Gardner
                         Florence Griffith Joyner                         Florence Griffith                 Joyner
                           Man Afraid of the Soap                         Man Afraid of the                   Soap
                                 Bachir Sid Azara                                Bachir Sid                  Azara
                          Abdel Monem El-Husseini                               Abdel Monem            El-Husseini
                                  Sidney de Souza                                 Sidney de                  Souza
                             Carl Axel Pettersson                                 Carl Axel             Pettersson
                              Isabella Dal Balcon                              Isabella Dal                 Balcon
                                          Aloísio                                      None                Aloísio
                                    Wim de Graaff                                    Wim de                 Graaff
                                   César de Matos                                  César de                  Matos
                              Juan Carlos Jacinto                               Juan Carlos                Jacinto
                               Sjoerd Mooi Wilten                               Sjoerd Mooi                 Wilten
                                Tony André Hansen                                Tony André                 Hansen
                                Oumayma Bel Ahbib                               Oumayma Bel                  Ahbib
                                   George du Rand                                 George du                   Rand
                                          Caillet                                      None                Caillet
                           Ibrahima Kandia Diallo                           Ibrahima Kandia                 Diallo
                                Rosa Linda Puente                                Rosa Linda                 Puente
                                          Lemoine                                      None                Lemoine
                               Joseph de Vrégille                                 Joseph de               Vrégille
                       Kristen Nygaard Kristensen                           Kristen Nygaard             Kristensen
                                            Izard                                      None                  Izard
                     Albert, Comte Gautier-Vignal                             Albert, Comte         Gautier-Vignal
                               Sjors van Iwaarden                                 Sjors van               Iwaarden
                      Juan Manuel Fernández Ochoa                     Juan Manuel Fernández                  Ochoa
                                  Thương Ngọc Tơn                               Thương Ngọc                    Tơn
                                Poul Kjær Poulsen                                 Poul Kjær                Poulsen
                               Helder de Carvalho                                 Helder de               Carvalho
                                  Peter van Schie                                 Peter van                  Schie
                              Juan Carlos Cabrera                               Juan Carlos                Cabrera
                                        Suharyadi                                      None              Suharyadi
                                 María José Povés                                María José                  Povés
                                          Preurot                                      None                Preurot
                                     João do Pulo                                   João do                   Pulo
                                        Badalhoca                                      None              Badalhoca
                                    Tso Hok Young                                   Tso Hok                  Young
                                 Arie van de Bunt                               Arie van de                   Bunt
                             Mathieu van der Poel                           Mathieu van der                   Poel
                            Meltem Hocaoğlu Akyol                           Meltem Hocaoğlu                  Akyol
                                          Lugarin                                      None                Lugarin
                            Richard Kennelly, Jr.                         Richard Kennelly,                    Jr.
                               Alan Sidek Mohamed                                Alan Sidek                Mohamed
                                Fahmi Abdul Wahab                               Fahmi Abdul                  Wahab
                                Elena Delle Donne                               Elena Delle                  Donne
                         João Francisco Capindica                            João Francisco              Capindica
                                   Per Olav Wiken                                  Per Olav                  Wiken
                                             Dedé                                      None                   Dedé
                           Alexandre De Saedeleer                              Alexandre De              Saedeleer
                        Eddy Sulistianto Suprapto                          Eddy Sulistianto               Suprapto
                                    Arjun Lal Jat                                 Arjun Lal                    Jat
                                   O. E. Granberg                                     O. E.               Granberg
                                         Anderson                                      None               Anderson
                                Jan van der Vliet                               Jan van der                  Vliet
                                         Evaristo                                      None               Evaristo
                                     W. L. Martin                                     W. L.                 Martin
                            Muhammed Furkan Özbek                           Muhammed Furkan                  Özbek
                                         Kaufmann                                      None               Kaufmann
                                  Tor Håkon Holte                                 Tor Håkon                  Holte
                                           Renaux                                      None                 Renaux
                                       Teylaguina                                      None             Teylaguina
                              Saber Mohamed Hasan                             Saber Mohamed                  Hasan
                                    Kevin De Bont                                  Kevin De                   Bont
                               Mercedes del Risco                              Mercedes del                  Risco
                                  Mary Ann DuChai                                  Mary Ann                 DuChai
                                          Hermand                                      None                Hermand
                               Harry Winkler, Jr.                            Harry Winkler,                    Jr.
                                    Khor Poh Chin                                  Khor Poh                   Chin
                                Abdel Aziz Sahère                                Abdel Aziz                 Sahère
                                  Toon De Brauwer                                   Toon De                Brauwer
                       Édouard Écuyer de le Court                      Édouard Écuyer de le                  Court
                           Eileen Marie Coparropa                              Eileen Marie              Coparropa
                                Abdul Hamid Tajik                               Abdul Hamid                  Tajik
                                 Masomah Ali Zada                               Masomah Ali                   Zada
                             Idriss Carlos Kameni                             Idriss Carlos                 Kameni
                                           Platis                                      None                 Platis
                                   J. P. Flammang                                     J. P.               Flammang
                             Charles Terry Pledge                             Charles Terry                 Pledge
                               Harold von Schmidt                                Harold von                Schmidt
                      Nikolay Zhelyazkov Dimitrov                        Nikolay Zhelyazkov               Dimitrov
                                Tor Albert Ersdal                                Tor Albert                 Ersdal
                                Amos Ojo Adekunle                                  Amos Ojo               Adekunle
                              Johan Van Den Steen                             Johan Van Den                  Steen
                             José Antonio Barrios                              José Antonio                Barrios
                            Cameron van der Burgh                           Cameron van der                  Burgh
                              Anasse Aït El Abdia                             Anasse Aït El                  Abdia
                             Mathilde de Kerangat                               Mathilde de               Kerangat
                              Else Ragni Yttredal                                Else Ragni               Yttredal
                                           Pouget                                      None                 Pouget
                             Kamal Kamel Mohammed                               Kamal Kamel               Mohammed
                             Oswaldo Simões Filho                            Oswaldo Simões                  Filho
                                     H. L. Visman                                     H. L.                 Visman
                                A. E. Z. A. Hatab                               A. E. Z. A.                  Hatab
                          Armand, Duc de Bisaccia                            Armand, Duc de               Bisaccia
                                Stanly del Carmen                                Stanly del                 Carmen
                                  José Luis Rocha                                 José Luis                  Rocha
                               Plus que de Raison                               Plus que de                 Raison
                     Bader Abdul Rahman Al-Fulaij                        Bader Abdul Rahman              Al-Fulaij
                               Mary Joe Fernandez                                  Mary Joe              Fernandez
                                Abdul Lahij Ahmed                               Abdul Lahij                  Ahmed
                                 Victor Van Hamme                                Victor Van                  Hamme
                                Anwar Pasha Turki                               Anwar Pasha                  Turki
                       Menno van Meeteren Brouwer                        Menno van Meeteren                Brouwer
                                  Tomás de Teresa                                  Tomás de                 Teresa
                   Vilém Goppold z Lobsdorfu, Jr.                Vilém Goppold z Lobsdorfu,                    Jr.
                                            Litos                                      None                  Litos
                           Chancel Ilunga Sankuru                            Chancel Ilunga                Sankuru
                                Charles De Keyzer                                Charles De                 Keyzer
                                 Roy van den Berg                               Roy van den                   Berg
                              Geremia Di Costanzo                                Geremia Di               Costanzo
                              Bernard de Fombelle                                Bernard de               Fombelle
                                       C. B. Cook                                     C. B.                   Cook
                                 Luciano Di Palma                                Luciano Di                  Palma
                             José Manuel Figueroa                               José Manuel               Figueroa
                            Juan Pablo Hourquebie                                Juan Pablo             Hourquebie
                               Juan José Castilla                                 Juan José               Castilla
                                  Menaka de Silva                                 Menaka de                  Silva
                        Nazar Muhammad Khan Malik                       Nazar Muhammad Khan                  Malik
                            Bianca van der Velden                            Bianca van der                 Velden
